countyname,itemname,kindname,unit,price,weekprice,monthprice,yearprice,품목명,부류코드
서울,쌀,20kg,1kg,"2,984","2,976","2,827","2,657",쌀,100
서울,찹쌀,일반계,1kg,"6,351","5,997","5,417","4,066",찹쌀,100
서울,콩,흰 콩(국산),1kg,"10,705","10,205","10,280","10,620",콩,100
서울,팥,붉은 팥(국산),1kg,"30,633","30,433","30,313","20,129",팥,100
서울,녹두,국산,1kg,"24,229","24,229","24,171","25,180",녹두,100
서울,고구마,밤,1kg,"5,450","5,107","4,706","5,815",고구마,100
서울,감자,수미(노지),1kg,"3,316","3,823",-,"3,131",감자,100
서울,배추,봄,1포기,"3,684","3,598","3,005","4,025",배추,200
서울,양배추,양배추,1포기,"3,593","3,930","3,641","3,623",양배추,200
서울,시금치,시금치,1kg,"10,481","9,178","6,404","10,223",시금치,200
서울,상추,적,1kg,"12,473","10,388","10,389","11,029",상추,200
서울,얼갈이배추,얼갈이배추,1kg,"2,364","2,404","2,196","2,730",얼갈이배추,200
서울,갓,갓,1kg,"3,880","5,480","4,513",-,갓,200
서울,수박,수박,1개,"22,567","21,963","22,107","21,150",수박,200
서울,참외,참외,10개,"15,228","18,533","18,864","12,362",참외,200
서울,오이,가시계통,10개,"15,750","14,400","14,094","10,594",오이,200
서울,호박,애호박,1개,"1,672","1,419","1,133","1,095",호박,200
서울,토마토,토마토,1kg,"3,061","3,484","3,677","3,680",토마토,200
서울,딸기,딸기,1kg,"11,593","9,710","9,758",-,딸기,200
서울,무,봄,1개,"1,946","1,959","1,767","2,115",무,200
서울,당근,무세척,1kg,"3,152","3,544","3,468","5,972",당근,200
서울,열무,열무,1kg,"2,484","2,446","2,198","2,628",열무,200
서울,건고추,화건,1kg,"35,500","35,500","35,500","35,500",건고추,200
서울,풋고추,풋고추(녹광 등),1kg,"14,944","15,456","15,044","15,187",풋고추,200
서울,붉은고추,붉은고추,1kg,"21,400","24,725","19,388","20,180",붉은고추,200
서울,피마늘,쪽마늘,,"7,960","7,960","8,560","7,960",피마늘,200
서울,양파,양파,1kg,"1,978","1,773","1,827","2,089",양파,200
서울,파,대파,1kg,"2,816","2,758","2,123","2,943",파,200
서울,생강,국산,1kg,"13,650","14,188","13,325","16,913",생강,200
서울,고춧가루,국산,1kg,"33,756","33,756","34,833","38,056",고춧가루,200
서울,가지,가지,10개,"10,608","11,080","8,153","10,438",가지,200
서울,미나리,미나리,1kg,"14,089","14,000","13,338","14,344",미나리,200
서울,깻잎,깻잎,1kg,"25,200","24,900","26,773","20,931",깻잎,200
서울,부추,부추,1kg,"7,487","6,992","5,927","5,608",부추,200
서울,피망,청,1kg,"17,381","17,250","15,993","11,689",피망,200
서울,파프리카,파프리카,1kg,"6,183","6,078","6,033","6,343",파프리카,200
서울,멜론,멜론,1개,"9,656","10,022","10,410","8,322",멜론,200
서울,깐마늘(국산),깐마늘(국산),1kg,"13,822","13,180","13,573","10,961",깐마늘(국산),200
서울,알배기배추,알배기배추,1포기,"2,592","2,540","2,370","2,627",알배기배추,200
서울,브로콜리,브로콜리(국산),1개,"2,211","1,856","2,005","1,946",브로콜리,200
서울,방울토마토,방울토마토,1kg,"7,640","8,747","8,639","6,367",방울토마토,200
서울,참깨,백색(국산),1kg,"40,350","40,350","40,300","37,067",참깨,300
서울,땅콩,국산,1kg,"40,025","40,025","40,025","37,600",땅콩,300
서울,느타리버섯,느타리버섯,1kg,"13,920","14,320","12,824","16,363",느타리버섯,300
서울,팽이버섯,팽이버섯,1kg,"3,762","3,640","3,511","3,548",팽이버섯,300
서울,새송이버섯,새송이버섯,1kg,"5,366","5,979","5,742","6,420",새송이버섯,300
서울,호두,수입,1kg,"23,356","23,600","21,693","14,883",호두,300
서울,아몬드,수입,1kg,"20,078","20,078","18,476","15,207",아몬드,300
서울,사과,후지,10개,"26,800","29,722","26,116","33,480",사과,400
서울,배,신고,10개,"36,514","37,857","38,040","86,333",배,400
서울,복숭아,백도,10개,"21,200",-,"21,558",-,복숭아,400
서울,포도,샤인머스켓,1kg,"10,800","12,088","9,690",-,포도,400
서울,감귤,노지,10개,"7,535","7,185","6,116",-,감귤,400
서울,단감,단감,10개,"13,900","14,450","14,775",-,단감,400
서울,바나나,수입,1kg,"2,991","3,324","3,623","2,891",바나나,400
서울,참다래,국산,10개,"8,710","9,133","10,473",-,참다래,400
서울,파인애플,수입,1개,"6,473","6,473","6,203","7,008",파인애플,400
서울,오렌지,네이블 미국,10개,"18,900","16,550","16,423",-,오렌지,400
서울,레몬,수입,10개,"11,580","11,172","11,299","11,947",레몬,400
서울,체리,수입,1kg,"20,614","21,300","30,417","20,533",체리,400
서울,건포도,수입,1kg,"9,814","9,671","9,671","9,743",건포도,400
서울,건블루베리,수입,1kg,"37,375","37,375","34,233","33,967",건블루베리,400
서울,망고,수입,1개,"4,152","3,883","3,723","4,620",망고,400
서울,아보카도,수입,1개,"1,901","1,996","2,112","2,085",아보카도,400
서울,고등어,생선,1마리,"2,970","3,917","4,732","4,035",고등어,600
서울,꽁치,냉동(수입),5마리,"7,264","7,206","7,264","7,918",꽁치,600
서울,갈치,생선,1마리,"4,725","5,465","5,755","7,730",갈치,600
서울,조기,참조기(신선 냉장),1마리,"1,500",-,-,-,조기,600
서울,삼치,냉장,1마리,"9,603","8,215","8,915",-,삼치,600
서울,물오징어,생선,1마리,"6,423","6,685","6,160","5,898",물오징어,600
서울,마른멸치,마른멸치,1kg,"25,333","23,325","25,030","23,070",건멸치,600
서울,마른오징어,마른오징어,10마리,"77,733","77,170","85,380","75,825",건오징어,600
서울,김,마른김,10장,"1,242","1,242","1,242","1,307",김,600
서울,마른미역,마른미역,1kg,"30,525","30,192","30,135","31,508",건미역,600
서울,굴,굴,1kg,"16,400","18,550","19,698","16,970",굴,600
서울,수입조기,부세수입(냉동),1마리,"4,249","4,249","4,225","3,604",수입조기,600
서울,새우젓,새우젓,1kg,"14,216","14,216","13,996","15,456",새우젓,600
서울,멸치액젓,멸치액젓,1kg,"5,833","5,833","5,945","5,567",멸치액젓,600
서울,천일염,천일염,1kg,"2,487","2,487","2,474","2,247",굵은소금,600
서울,전복,전복,5마리,"11,918","13,151","10,306","11,947",전복,600
서울,새우,흰다리(수입),10마리,"5,323","4,749","5,802","5,290",새우,600
서울,홍합,깐홍합(냉장),1kg,"33,800","33,800","33,800","23,080",홍합,600
서울,가리비,해만가리비(홍가리비),1kg,"9,450","7,503","8,039",-,가리비,600
서울,건다시마,완도산,1kg,"32,825","32,825","32,617","38,186",건다시마,600
